;Inv.Nr.;Datierung_x;Künstler_x;Datierung_y;Künstler_y
170;G-1990-144;1858;Wittmaack, Johann Heinrich (1822-1874);-;-
171;G-1990-147;1858;Wittmaack, Johann Heinrich (1822-1874);-;-
172;G-1991-028;1858;Wittmaack, Johann Heinrich (1822-1874);-;-
173;G-1991-039;1858;Wittmaack, Johann Heinrich (1822-1874);-;-
174;G-1991-052;1858;unbekannter Künstler;;
175;G-1991-177;1858;;-;-
176;G-1991-242;1858;;-;-
177;G-1991-261;1858;unbekannter Künstler, evtl. J. H. Wittmaack;-;-
178;G-1991-345;1858;Wittmaack, Johann Heinrich (1822-1874);-;-
179;G-1991-432;1858;;-;-
180;G-1991-447;1858;Wittmaack, Johann Heinrich (1822-1874);-;-
181;G-1991-454;1858;unbekannter Künstler;-;-
182;G-1990-102-001;1858;Wittmaack, Johann Heinrich (1822-1874);-;-
183;G-1990-102-002;1858;;-;-
184;G-1990-184;1858 - 1883;unbekannter Künstler;-;-
185;G-1990-186;1858 - 1886;unbekannter Künstler;-;-
186;G-1990-190;1858 - 1893;unbekannter Künstler;-;-
187;G-1990-039;1859;Wittmaack, Johann Heinrich (1822-1874);-;-
188;G-1990-141;1859;Wittmaack, Johann Heinrich (1822-1874);-;-
189;G-1990-142;1859;Wittmaack, Johann Heinrich (1822-1874);-;-
190;G-1991-004;1859;Wittmaack, Johann Heinrich (1822-1874);;
191;G-1991-244;1859;Wittmaack, Johann Heinrich (1822-1874);-;-
192;G-1991-409;1859;unbekannter Künstler;-;-
193;G-1991-449;1859;Wittmaack, Johann Heinrich (1822-1874);-;-
194;G-1991-627;1859;;-;-
195;G-1991-631;1859;unbekannter Künstler, signiert mit W., evtl. J.H. Wittmaack;-;-
196;G-1990-038;1860;Wittmaack, Johann Heinrich (1822-1874);-;-
197;G-1990-054;1860;unbekannter Künstler, evtl. Wittmaack;-;-
198;G-1990-103;1860;Wittmaack, Johann Heinrich (1822-1874);-;-
199;G-1990-125;1860;Wittmaack, Johann Heinrich (1822-1874);-;-
200;G-1990-133;1860;;;
201;G-1991-421;1860;;-;-
202;G-1990-003;1861;Wittmaack, Johann Heinrich (1822-1874);-;-
203;G-1990-091;1861;Wittmaack, Johann Heinrich (1822-1874);-;-
204;G-1990-092;1861;Wittmaack, Johann Heinrich (1822-1874);-;-
205;G-1990-109;1861;unbekannter Künstler, W. Wenen?;-;-
206;G-1990-187;1861;unbekannter Künstler;-;-
207;G-1991-097;1861;Wittmaack, Johann Heinrich (1822-1874);-;-
208;G-1991-594;1861;Wittmaack, Johann Heinrich, ? (1822-1874);-;-
209;G-1990-007;1862;Wittmaack, Johann Heinrich (1822-1874);-;-
210;G-1990-013;1862;unbekannter Künstler;-;-
211;G-1990-016;1862;unbekannter Künstler;-;-
212;G-1990-055;1862;unbekannter Künstler;-;-
213;G-1991-086;1862;unbekannter Künstler, evtl. Wittmaack?;-;-
214;G-1991-155;1862;unbekannter Künstler, [Wittmaack?];-;-
215;G-1991-326;1862;unbekannter Künstler;;
216;G-1991-614;1862;;-;-
217;G-1991-589-005;1862 [vermutlich 1852!];Mencke, Dr.;-;-
218;G-1990-004;1863;unbekannter Künstler;-;-
219;G-1990-011;1863;unbekannter Künstler;-;-
220;G-1990-014;1863;unbekannter Künstler;-;-
221;G-1990-015;1863;unbekannter Künstler;-;-
222;G-1990-040;1863;unbekannter Künstler;-;-
223;G-1990-088;1863;unbekannter Künstler;-;-
224;G-1990-090;1863;unbekannter Künstler;-;-
225;G-1990-105;1863;;;
226;G-1990-175;1863;unbekannter Künstler;-;-
227;G-1990-188;1863;unbekannter Künstler;-;-
228;G-1991-030;1863;unbekannter Künstler;-;-
229;G-1991-037;1863;unbekannter Künstler;-;-
230;G-1991-221;1863;unbekannter Künstler;-;-
